entity	title	definition	example_technologies
TX14.1.5	Cryogenic Analysis, Safety, and Properties	This area includes technologies to develop, improve, and validate detailed thermal and fluid analysis techniques for cryogenic components and hardware. This area also includes technologies for cryogenic safety approaches and methodologies and applications for ground and flight environments. This subcategory also includes improved and expanded expertise and knowledge in materials applications, spanning data, manufacturing, and specialized design and testing, to meet mission needs in unique cryogenic environments.	Integrated thermal modeling, cryogenic systems, computational fluid dynamics (CFD) (gravity and micro-gravity environments), cryogenic propellant/fluid safety oxygen, fuels (H2, CH4, etc.) and inerts (N2, etc.), cryogenic hardware systems safety, cryogen properties (solid, liquid, vapor, mixture), other materials of construction at cryogenic temperatures (strength, thermal/electrical conductivity, emissivity, magnetism, superconductivity), material properties testing apparatus (strength, thermal/electrical conductivity, emissivity), additively manufactured materials for cryogenic applications, superconductive magnets/motors
TX14.2	Thermal Control Components and Systems	Thermal control components and systems provide capabilities that enable an element to maintain operational temperature limits. An element uses various components to achieve the primary functions of waste energy acquisition; transport; rejection, storage, and reclamation; and temperature control within hardware limits through various mission environments. These functions are enabled through core capabilities of analysis, performance monitoring via sensors, and V&V to ensure mission success.	
TX14.2.1	Heat Acquisition	Heat acquisition is the function in an element that captures energy from a heat source. This function can be achieved through active and passive heat transfer in a thermal control system. The primary function of heat acquisition is to ensure that the rate of waste energy transfer to a thermal control system either maintains a component within operational temperature limits or is sufficient for useful reapplication elsewhere (heat reclamation or harvesting). This area includes technologies to capture heat more effectively during flights and surface missions, such as through cold plates, evaporators, and heat exchangers. This area also includes methods to advance the robustness, life, efficiency, and temperature range of operability.	Cold plates, evaporators, liquid/liquid heat exchangers, air/liquid heat exchangers, boiling heat transfer, evaporation heat transfer, condensation heat transfer, crew cabin/avionics temperature and cabin humidity controls, hydrophilic, coatings/surfaces, condensing heat exchangers, high heat load collection (500 kW - 1 MW), freezer and refrigerator
TX14.2.2	Heat Transport	Heat transport enables waste energy to be moved from an element component and/or system for either rejection to the environment or reuse elsewhere in the vehicle. This area includes technologies for thermal management of both spacecraft and electrified aircraft propulsion. The transport of energy is accomplished using active and/or passive capabilities in a thermal control system. Technologies include not only items that can more effectively transfer heat but also methods to advance the robustness, life, efficiency, and temperature range of operability.	Heat pipes (e.g. constant conductance, variable conductance, diode), capillary pumped fluid loops, loop heat pipes, mechanically pumped fluid loops (e.g., single phase and two phase), thermal straps, forced air cooling (heating, ventilation, and air conditioning (HVAC)), fans, heat pumps (e.g., thermoelectric coolers, vapor compression systems), vapor cooling, heat switches (e.g. paraffin, coefficient of thermal expansion, shape memory alloys), solid state conduction bars/doublers (e.g. high thermal conductivity composites), loop heat pipe and high heat load transport (500 kW - 1 MW), two phase heat transport and pool boiling
TX14.2.3	Heat Rejection and Storage	This area includes technologies that more effectively reject heat for an element. Technologies are needed to make these methods more reliable and standardized and increase the capability for effective ground testing. This area includes technologies that manage system heat by primarily using the thermal and/or optical properties of a given material. This area includes in-space and ground applications.	Radiators, radiator turn-down devices (e.g. louvers, heat switches, variable conductance heat pipes), phase change materials, transpiration cooling, heat sinks, optical coatings, variable coatings, sunshades, molten salts, cryogens, evaporation, boiling, condensation, autonomous radiator maintenance, dust tolerant radiators, high heat load 500 - 500 kW rejection
TX14.2.4	Insulation and Interfaces	This area includes technologies associated with insulation, including technologies to enhance interface conductance and to reduce heat transfer across interfaces. This area also includes technologies to prevent heat intrusion into undesired locations, such as cryogenic propellant tanks, ground equipment, and certain spacecraft components. Additionally, this area includes technologies that prevent heat loss from systems (e.g., crewed vehicles) and maintain avionics operating temperatures).	Multi-layer insulations, foam insulations, aerogels, thermal gap fillers
TX14.2.5	Thermal Control Analysis	Thermal control analysis software is used to analyze the full thermal performance of a system, including orbital analysis, radiation analysis, thermal and fluid solvers, and optimization of design parameters through simulation. Technologies can include methods to more effectively link these functions, allow the analysis to be faster and more automated, perform uncertainty analysis, and decrease the time needed for thermal model development.	Thermal solvers, orbit analysis, radiation analysis, optimization, fluid flow analysis, layered composite insulation systems, coupled, multi-physics simulations for temperature induced phenomena affecting system performance, structural-thermal-optical (STOP) analysis, detailed thermal network analysis to evaluate the thermal performance of a given system
TX14.2.6	Heating Systems	Heating systems provide energy to maintain temperatures, either electrically or through radioactive decay using technologies such as thin-film heaters and ceramic heaters.	Electric heaters, nuclear-based heating source (e.g. radioisotope heater units, general-purpose heat source), chemical/combustion-based heating source
TX14.2.7	V&V of Thermal Management Systems	V&V technologies support thermal testing of vehicle thermal systems and components, thermal model correlation, and inspection of thermal control systems or hardware.	Testing, correlation, inspection
TX14.2.8	Measurement and Control	This area includes technologies that improve measurement and control of thermal systems.	Sensors, mechanical thermostats, temperature control software and algorithms.
TX14.3	Thermal Protection Components and Systems	Thermal protection components and systems area a set of thermal and structural materials, integration techniques, and manufacturing methods that protect the entry system from the extreme heating and aerodynamic forces a spacecraft experiences during hypersonic atmospheric transit. Key challenges include increasing thermal performance, achieving high reliability, increasing damage tolerance, and integrating methods that do not create vulnerabilities in the spacecraft. For many exploration missions, thermal and structural load-bearing capability are often required, and multifunctional material solutions offer overall system mass efficiency.	
TX14.3.1	Thermal Protection Materials	Thermal protection materials (TPMs) are the materials and coatings designed to tolerate high temperatures while insulating the spacecraft from the incident heating. Materials are often generally classified as single or multiuse, with application dependent on operations. This category also includes fundamental research and development of new material concepts and materials testing used to determine underlying properties.	Tiles; blankets; rigid and conformal ablators; flexible materials; foams (i.e., ascent Thermal Protection Systems (TPSs)); coatings; materials research, development and testing; multi-functional materials (MMOD resistance, radiation reflective, etc.)
TX14.3.2	Thermal Protection Systems	Thermal protection systems (TPSs) encompass the integration of thermal protection materials, structure, bonding agents, and gap fillers, along with the manufacturing techniques and processes that enable the construction of an entire aeroshell. Included in this area are active and passive systems as well as hot structures for which the same material carries both thermal and structural loads for the aeroshell.	Active, passive, semi-passive, ablative, insulative, heat pipes, transpiration cooled, thermal protection concept development, multilayer flexible (e.g., Hypersonic Inflatable Aerodynamic Decelerator (HIAD) Thermal Protection System), ceramic matrix composite hot structures, carbon-carbon hot structures, attachment/integration
TX14.3.3	Thermal Protection Analysis	Thermal protection analysis encompasses numerical approaches to simulate the incident environments as well as material thermal and structural responses to those environments. Such analyses can be performed via a range of approaches, from fully uncoupled to fully coupled, depending on mission requirements.	Aeroheating (convective and radiative), ablation, thermal, thermo-structural, coupled, margin policy development, reliability assessment, failure analysis, computational materials design
TX14.3.4	TPS Testing	TPS testing encompasses experimental methods used to characterize the performance of TPS and TPM when subjected to relevant environments. Such testing can explore a single aspect of the flight environment (e.g., heat flux) or combinations of several aspects. Also included in this area are techniques for characterizing the test facilities, ranging from instrumentation to improved simulation capability.	Arc jet, laser-based, wind tunnel, solar tower, radiant, thermo-mechanical, pressurized/elevated temperature, combined (e.g., Laser Enhanced Arc-jet Facility (LEAF) Lite), flight testing, facility characterization (e.g. modeling, instrumentation)
TX14.3.5	TPS Instrumentation	TPS instrumentation encompasses in situ and remote techniques to measure the incident environment and/or the response of the TPS to that environment during flight.	Thermocouples, heat flux gauges, recession sensors, strain sensors, radiometer/spectrometers, sensor networks, Integrated Structural Health Monitoring (ISHM), remote observation platforms, pressure sensors
TX14.X	Other Thermal Management Systems	This area covers thermal management systems technologies that are not otherwise covered in the subparagraphs outlined in TX14 of the 2024 NASA Technology Taxonomy.	
TX15	Flight Vehicle Systems		
TX15.1	Aeroscience	Aeroscience is the prediction of vehicle and component atmospheric flight performance and flow qualities to enable robust and efficient flight vehicle development and thereby achieve performance requirements while minimizing environmental impacts. The technologies involved in aeroscience require development of analytical and empirical systems; computational analysis; ground testing technologies in wind tunnels, arc jets, ballistic ranges, and water channels; and flight technologies in specific technical areas.	
TX15.1.1	Aerodynamics	Aerodynamics uses computational analysis, ground testing, and flight to predict vehicle and component atmospheric flight performance and flow qualities (e.g., six-component aerodynamic forces and moments, detailed pressure distributions, qualitative and quantitative off-body flow characteristics).	Flow characterization through analysis and testing, with prediction and characterization of unsteady separated flow being a primary technology challenge; target vehicles include aircraft, launch vehicles, entry, descent, and landing (EDL) systems, abort systems, parachutes, and inflatable decelerators across all speed regimes from subsonic to hypersonic; characterization of subsonic, transonic, supersonic, and hypersonic flows, junction flows, landing gear, high lift systems, and innovative control effectors; new technologies to predict and analyze the underlying unsteady flow characteristics driving buffet and aeroacoustics for aircraft, launch vehicles and spacecraft; advanced aerodynamic predictive capability required to enable efficient atmospheric flight vehicle designs
TX15.1.2	Aerothermodynamics	Aerothermodynamics uses computational analysis, ground testing, and flight to predict vehicle and component aeroheating environments and flow qualities (e.g., convective and radiative heating; surface temperature; heat flux; interactions with vehicle components, such as thermal protection systems).	Computational aeroelastic tools coupling Computational Fluid Dynamics (CFD) with structural dynamics methodologies to predict flutter, buffet, limit cycle oscillations and aeroservoelastic interactions; advanced unsteady CFD techniques to predict nonlinear fluctuating pressure fields for launch vehicle and aircraft buffet, control surface buzz and other nonlinear aero structural interactions; advanced ground test techniques and strategies to simulate and predict the performance of coupled aero/structural systems as well as complex unsteady flows and loads; advanced aircraft systems such as truss-braced wing and other concepts based on high aspect ratio wing configurations enabled by advanced static and dynamic aeroelastic prediction methodology; active flutter suppression; aeroelastic tailoring; active static/buffet/gust load alleviation
TX15.1.3	Aeroelasticity	Aeroelasticity is the coupled interaction of vehicle aerodynamics with vehicle structures and control systems, including static aeroelastic deformation, flutter, buffet, control surface buzz, aeroservoelasticity, and limit cycle oscillations.	Computational aeroelastic tools coupling Computational Fluid Dynamics (CFD) with structural dynamics methodologies to predict flutter, buffet, limit cycle oscillations and aeroservoelastic interactions; advanced unsteady CFD techniques to predict nonlinear fluctuating pressure fields for launch vehicle and aircraft buffet, control surface buzz and other nonlinear aero structural interactions; advanced ground test techniques and strategies to simulate and predict the performance of coupled aero/structural systems as well as complex unsteady flows and loads; advanced aircraft systems such as truss-braced wing and other concepts based on high aspect ratio wing configurations enabled by advanced static and dynamic aeroelastic prediction methodology; active flutter suppression; aeroelastic tailoring; active static/buffet/gust load alleviation
TX15.1.4	Aeroacoustics	Aeroacoustics is a branch of acoustics that studies noise generation via either turbulent fluid motion or aerodynamic forces interacting with surfaces, including periodically varying flows, such as shock waves and noise generated by landing gears and deflected aero surfaces, and nonperiodic unsteady flows, such as those encountered during the ascent of launch vehicles and spacecraft.	The technologies involved include an integrated approach to computational predictive methods, sensors, and test techniques to study aeroacoustic effects generated by shock motion, flow separation and reattachment, exhaust plumes and plume impingement, and sonic booms. Technologies extend to support the prediction of aeroacoustic effects on vehicle structure, vehicle subsystems (such as electronics), the community, and methods to mitigate these effects for operations including buffet and aeroacoustic load reduction, noise reduction, sonic boom mitigation, and efficient airframe-engine integration. These technologies are applied to fixed-wing, vertical lift, Unmanned Aerial Systems/Urban Air Mobility vehicles, launch vehicles, abort vehicles, and spacecraft.
TX15.1.5	Propulsion Flowpath and Interactions	Propulsion flowpath and interactions regards the details of flow into, through, and out of the propulsion system and how these flows interact and/or are affected by the vehicle. This broad area includes rocket plumes, reaction control systems, inlet flows, nozzle and exhaust flows, combustion, distributed electric propulsion, hypersonic propulsion flow, and tightly integrated and coupled propulsion systems.	Technology challenges include prediction and characterization of flow-related performance for integrated propulsion systems. Applications include distributed electronic propulsion, propulsion integration for sustained hypersonic flight, highly integrated efficient propulsion systems for aviation, Reaction Control Systems (RCS) during spacecraft entry, supersonic retro propulsion, launch abort vehicles, launch vehicle ascent, and stage separation.
TX15.1.6	Advanced Atmospheric Flight Vehicles	This area covers unconventional vehicle concept designs enabled by advancements in understanding flow and fluid phenomena.	Concept flow-related technologies supporting development of subsonic transports, supersonic transports, hybrid electric concepts, advanced spacecraft, launch vehicle and abort vehicles, planetary EDL and ascent vehicles, and urban air vehicles
TX15.1.7	Computational Fluid Dynamics Technologies	This area covers advanced computational fluid dynamics (CFD) algorithms, strategies, and tools leading toward a vehicle certification by analysis capability.	Advanced algorithms and computational strategies allowing predictive and design tools to operate efficiently on emerging high performance computing architectures; advanced algorithms and tools to predict smooth-body, separated flows, chemically reacting flows, forced and naturally occurring unsteady flows; Direct Numerical Simulation; Large Eddy Simulation; Detached Eddy Simulation; particle methods like Lattice Boltzmann; Geometry modeling; grid generation; large-data post processing technologies adapted to and integrated in CFD tools, methods, and strategies.
TX15.1.8	Ground and Flight Test Technologies	This area covers advanced ground test capabilities, techniques, and strategies to enable development and validation of atmospheric flight vehicle concepts, validation of new CFD technologies, and vehicle and flow research.	Technologies that incorporate advanced sensors, measurement techniques, and processes into ground testing in wind tunnels, ballistic ranges, water channels, arc jets and other ground test facilities as well as similar technologies for flight testing. These test technologies include advanced pressure and temperature measurement, qualitative and quantitative off-body measurement techniques, advanced static and dynamic pressure sensitive paint, advanced load balances, including flow-through balances for powered testing, and model deformation measurement systems for aeroelastic test. Flight testing leverages similar technology and extends into remote thermal imaging techniques for direct aerothermodynamic measurements of flight vehicles and technologies like background oriented Schlieren techniques for off-body flow measurement, visualization and interaction.
TX15.2	Flight Mechanics	Flight mechanics provides the analysis, prediction, measurement, and testing of vehicle dynamics, trajectories, and performance throughout the project life cycle, including mission definition, vehicle sizing and requirements, end-to-end modeling and simulation, refinement of the vehicle design, verification that design requirements are met, flight testing, and mission operations.	
TX15.2.1	Trajectory Design and Analysis	Trajectory design and analysis technologies support the design, optimization, analysis, and reconstruction of space vehicle and air vehicle flight trajectories.	1. Trajectory Design and Optimization. Includes design and optimization of space vehicle and air vehicle trajectories. Includes definition of the envelope of acceptable trajectories given the capabilities of the vehicle, and determination of the optimal trajectory. For space vehicles, includes ascent; orbital targeting, orbital maintenance, and on-orbit rendezvous; interplanetary trajectories; theoretical astrodynamics; low-thrust design and optimization; planetary moon tour design; three-body orbit modeling and design; and entry through landing. For air vehicles, includes takeoff, mission execution or cruise, and approach/landing. 2. Trajectory Reconstruction. Technologies that enhance post-flight and on-board procedures that use real-time, telemetered or recorded flight data to determine as-flown estimates of vehicle performance (propulsion, aerodynamics, GN&C, etc.) and encountered environment characteristics (atmosphere, gravity, etc.). 3. End-to-end mission design and optimization of space vehicles and air vehicles. Involves integrating trajectory solutions from the various phases of flight to optimize the overall mission in terms of duration, mass, propellant, flexibilities, and requirements for associated subsystems, such as lighting, communications, power, propulsion, etc. Helps evaluate interactions and trades between other disciplines (aero, propulsion, structures, GN&C, etc.) and identifies/establishes subsystem performance and requirements.
TX15.2.2	Flight Performance and Analysis	Flight performance and analysis supports the analysis and prediction of open and closed-loop vehicle performance and dynamics (including flying/handling qualities, system identification, performance requirements, certification, and model validation) during a maneuver, mission phase, or end-to-end mission for all current and advanced vehicle concepts and for all phases of flight.	Technologies and techniques for the analysis, design, and prediction of vehicle performance parameters and evaluation against vehicle and mission requirements and constraints, such as 3DOF analyses for preliminary designs and trade studies followed by high fidelity 6-DOF evaluations with GN&C in the loop; technologies to aid in the analysis and evaluation and prediction of vehicle dynamics effects, and their impact on overall vehicle performance and stability/control, including the study, estimation, and analysis of open-loop (bare airframe) vehicle stability and controllability characteristics and the effects of the flight control system on these characteristics; technologies that enhance the analysis and prediction of vehicle flying and/or handling qualities, and evaluation of vehicle and/or pilot ability to adequately perform desired mission profile, including pilot-in-the-loop handling qualities (vehicle performance and workload) methods, analysis, and testing; technologies for system identification including the use of statistical methods to extract vehicle models from flight data through the use of planned maneuvers or effector commands, which allows comparison of flight-derived vehicle models with ground-based predictions and allows updating of ground-based flight simulations to more closely represent observed flight characteristics; research into methods, application and analysis of system identification methods, test techniques and flight test data; development, refinement and verification and validation of vehicle performance requirements; technologies that help with model validation includes evaluation and comparison against truth models of measured environmental conditions or measured system and sub-system characteristics and responses
TX15.2.3	Flight Mechanics Testing and Flight Operations	Flight mechanics testing and flight operations supports the design, planning, and conducting of flight and ground-based tests (experimental and computational) focused on vehicle flight mechanics using flight dynamic test facilities, CFD tailored to flight-dynamic prediction, and/or pilot-in-the-loop ground-based simulators and in-flight full-scale and subscale test beds.	Technologies to aid in-flight and post-flight assessments of vehicle performance and handling such as trajectories and environments; technology development of sensors and systems to gather relevant flight data during flight tests and operational flights; technologies to aid in the planning and conducting flight tests and functional flights using ground-, air, and space-based assets; technologies and techniques for the analysis of requirements to create safe flight trajectories and observational assets for test personnel, crew, and public; technologies aimed in the planning and conducting tests and experiments using sub-scale to full-scale test articles (e.g. wind tunnel tests across the Mach range) to obtain aerodynamic and other data for assessing flight-dynamic behavior of vehicles, for simulation models, and stability and control analyses; use of existing measurement techniques, and development of new and novel techniques when state-of-the-art systems are not adequate, including use of piloted simulators for evaluation of aircraft and space vehicle flying and handling qualities
TX15.2.4	Modeling and Simulation for Flight	Modeling and simulation for flight supports the design, development, and implementation of vehicle flight-dynamic simulations (simulation architecture, coordinate systems, equations of motion, etc.) and subsystem models (aerodynamic, aerothermal, propulsion, power, thermal, mass property, slosh, aero-servo-elastic structural, natural environment, geodesy, gravity, and uncertainty models) to enable accurate analysis and predictions of vehicle dynamics, trajectories, and performance.	Development of technologies that simulate the physics of flight vehicles, including GN&C, natural environment models, and vehicle subsystem (plant) models that affect vehicle performance and dynamics; development of visualizations of the flight vehicle to better communicate and determine operational performance; integration of visualization tools with trajectory design, reconstruction, and end-to-end mission design; math models of vehicle subsystems (aerodynamic, aerothermal, propulsion, power, thermal, mass property, slosh, aero-servo-elastic, structural, sensors, effectors, separation systems etc.) and environments (atmosphere, gravity, geodesy, etc.) that can be included as a software component in flight mechanics tools such as 6-DOF flight simulation; uncertainty modeling; simulation and trajectory visualization
TX15.X	Other Flight Vehicle Systems	This area covers flight vehicle systems technologies that are not otherwise covered in the subparagraphs outlined in TX15 of the 2024 NASA Technology Taxonomy.	
TX16	Air Traffic Management and Range Tracking Systems		
TX16.1	Safe All-Vehicle Access	This area aims to enable safe scalable, routine, high-tempo airspace access for all users. Representative vehicle examples include but are not limited to general aviation, urban air mobility (UAM), commercial aircraft operations, uncrewed vehicles, supersonic aircraft, rotorcraft, balloons, and commercial space vehicles.	Develop concepts and procedures that enable the safe integration of all vehicle types in the NAS, with examples such as Unmanned Aircraft Systems Traffic Management (UTM) Prototype for user services; UAM viability demonstrations; safety technologies for new vehicle concepts; multi-domain situational awareness and prognostic safety awareness, prediction and alerting tools; technologies for safe global operations with resilient degradation; virtual airspace visualization concepts and technologies
TX16.2	Weather and Environment	This area aims to develop tools that provide weather and environmental information to avoid inclement weather and environmental conditions affecting ground and flight-deck operations.	Improved weather & hazard awareness detection, prediction and alerting technologies, including aircraft state and health management; hazards include precipitation, winds, wind shears, microbursts, clear air turbulence, and icing
TX16.3	Traffic Management Concepts	This area covers technologies and procedures that enable improved efficiency and predictability of ground, departure, en route, and descent portions of flight for high-density mixed crewed and uncrewed vehicles.	Deployment of NextGen technologies including enhanced required navigation performance (RNP) (required navigation performance) arrival, integrated arrivals/departures/surface operations, and integrated air-ground applied weather demonstration; operator prioritization services integrated with air navigation service provider tools; safety analyses for new airspace concepts; fully integrated, service-based ground, flight deck and operations management technologies; scalable integration of airspace and application technologies.
TX16.4	Architectures and Infrastructure	This area covers architectures and infrastructure that support existing operations and enable the integration of new vehicles, new operations, and new business models, including advanced communications technologies and infrastructure and cybersecurity.	Operator prioritization services integrated with air navigation service provider tools; develop requirements for a secure integrated CNS (Communications, Navigation, Surveillance) system for Trajectory Based-Operations (TBO) and future autonomous operations; guidelines & standards for initial Unmanned Aircraft Systems (UAS) integration in the NAS; technologies, guidelines, scalable architecture & standards for integration of all vehicles types into the NAS.
TX16.5	Range Tracking, Surveillance, and Flight Safety Technologies	This area covers technologies that increase the efficiency of range operations across land, air, sea, and space applications by improving overall responsiveness and providing a greater ability to track the entire course of a launch vehicle, without expensive ground assets, to quantify mission safety, risk, and success. Although these functions are similar to those conducted by the Federal Aviation Administration (FAA), they are unique because of the relative speed of launch vehicles, and they have traditionally been handled separately from traditional air traffic management operations.	Space based surveillance assets, ""smart"" sonar buoys for range (sea) operations; onboard tracking; advanced (near-zero loss) telemetry systems for ascent or re-entry; advanced antenna systems; multiple simultaneous tracking solutions; autonomous onboard flight analysis; autonomous flight abort/termination systems; anti-jamming and anti-spoofing communications; aerospace traffic control system capable of monitoring, deconflicting, debris tracking, weather overlays, and local and global scheduling; and rapid reconfiguration for concurrent launches, reentries, and flights of diverse flight platforms (manned/unmanned aircraft/launch vehicles/buoyant systems)
TX16.6	Integrated Modeling, Simulation, and Testing	This area covers tools and methodologies that combine live, virtual, and constructive assets for developing, analyzing, testing, and integrating novel concepts.	ATM testbed; operational ATM testbed with predictive capabilities; shadow-mode capability in which virtual and constructive simulations run in tandem with the live NAS; modeling to include real-time multi-vehicle near continuous optimization with real-time data; virtual and augmented reality injection into live systems so that they perceive a test range as a different target environment (e.g. UAM); visualization tools and technologies for autonomous ATM methods
TX16.X	Other Air Traffic Management and Range Tracking Systems	This area covers air traffic management and range tracking systems technologies that are not otherwise covered by the subparagraphs outlined in TX16 of the 2024 NASA Technology Taxonomy.	
TX17	GN&C		
TX17.1	Guidance and Targeting Algorithms	Guidance and targeting algorithms primarily constitute the development of robust, reliable, and computationally efficient mathematical algorithms (and their associated software implementation) for the functions of onboard or ground-based computation of desired or reference space system flight paths and/or attitudes and for the changes in flight paths and/or attitudes required to meet mission requirements.	
TX17.1.1	Guidance Algorithms	This area covers technologies for the development of algorithms and associated software for autonomous real-time or near-real-time selection of desired targets and the computation of the maneuvers required to attain those targets while optimizing system performance.	Ascent guidance, abort guidance, multi-vehicle formation flying guidance, vehicle 6DOF path planning, optimal attitude slewing guidance, next-generation entry guidance and powered descent guidance to support the functions of entry, descent, and landing (EDL) precision / pinpoint landing on planets/small bodies, computationally efficient trajectory / attitude optimization tools for onboard use
TX17.1.2	Targeting Algorithms	This area covers technologies for the development of algorithms and associated software for autonomous real-time or near-real-time selection of desired targets and the computation of the maneuvers required to attain those targets.	On-the-fly adaptive guidance for opportunistic exploration and science observations
TX17.2	Navigation Technologies	Navigation technologies primarily consist of the robust, reliable, and computationally efficient mathematical algorithms and their associated software implementations for the functions of flight path, orbit, and trajectory state estimates.	
TX17.2.1	Onboard Navigation Algorithms	This area covers algorithms and their associated flight software for autonomous onboard estimates of flight path, orbit, and trajectory parameters and associated uncertainties identified through navigation sensor measurements.	Algorithms for optical navigation, terrain relative navigation, autonomous rendezvous and docking, autonomous hazard detection and avoidance, autonomous space-based navigation (optical or Global Positioning System (GPS) Cislunar), X-ray navigation, Simultaneous Localization and Mapping (SLAM), light detection and ranging (LIDAR)-based navigation, inertial navigation (translation) filter, inertial attitude estimation filter, ascent vehicle filter, Earth-independent deep space navigation, celestial navigation, landmark navigation, X-ray pulsar navigation, vehicle-relative navigation (translation) filter, vehicle-relative attitude filter, swarm navigation, angles-only navigation, double line of sight navigation, small body prox ops and landing filter
TX17.2.2	Ground-Based Navigation Algorithms	This area covers algorithms and tools for ground-based estimates of flight path, orbit, and trajectory parameters and associated uncertainties identified through navigation sensor measurements.	Filtering and estimation technologies for the optimum selection of data types, measurement frequencies and advanced techniques/methods for uncertainty analysis, technologies for 'lights out' ground system navigation autonomy to reduce flight operations team size/cost
TX17.2.3	Navigation Sensors	This area covers technologies for onboard sensors and sensor systems (sensor hardware and embedded sensor software) that take the measurements required to estimate flight path, orbit, and trajectory parameters. This area includes navigation sensors and sensor systems for both absolute navigation functions and relative navigation functions.	Inertial Measurement Units (IMUs), precision gyroscopes, accelerometers, GPS/Global Navigation Satellite System (GNSS) receivers, LIDARs, laser rangefinders, laser altimeters, radio frequency (RF)-based inter-spacecraft ranging systems, visible wavelength cameras, infrared wavelength cameras, precision frequency and timing devices such as oscillators and clocks, cold atom sensors, navigation transponders, navigation beacons, velocimeters, radars
TX17.2.4	Relative Navigation Aids	This area covers technologies for cooperative onboard relative navigation aids that improve the accuracy, range, and computational complexity of measurements required to estimate the orbit and trajectory parameters of one object with respect to another. These aids may be paired with specific sensors or general aids installed on spacecraft to facilitate future planned or unplanned on-orbit operations. This area includes technologies for cooperative onboard relative navigation aids that improve the accuracy of, improve the range of, and reduce the computational complexity of measurements required to estimate the orbit and trajectory parameters of one object with respect to another. These technologies may be paired with specific sensors or general aids installed on spacecraft to facilitate future planned or unplanned on-orbit operations.	Retro-reflective corner cubes, visual fiducials, infrared (IR) fiducials, reflective tape, LED targets, RF Beacon, Radio Wave Marker (RF Retro-Reflector)
TX17.2.5	Rendezvous, Proximity Operations, and Capture Sensor Processing and Processors	This area includes all types of sensor processing algorithms, software, and firmware that convert raw sensor data into relative navigation measurements, including range, bearing, relative position, relative velocity or Doppler, accelerations, and relative position and attitude (pose). This area also includes algorithms necessary to calibrate sensors and to control sensors (e.g., automatic gain control). This area also includes compute elements specifically designed to accommodate rendezvous and capture measurement processing.	Vis. Cam. Vehicle Centroid/Bearing; IR cam. Vehicle Centroid/Bearing; Retroreflector Centroid/Bearing; Landmark (i.e. crater) Bearing; Terrain Feature Bearing; Laser Retro Range & Bearing; Laser Vehicle Range & Bearing; Relative GPS (LEO); Relative GPS Beyond LEO; Coop RF Range, Doppler (Veh-to-Veh); Coop RF bearing (veh-to-veh); Non-Coop RF Range, Bearing, Doppler (Veh-to-Veh); Marman Ring tracking; Illum Retro 2D Image 6DOF pose; Coop LIDAR 6DOF pose; Coop Vis. Cam. 6DOF pose; Coop. RF/Radar pose; Non-Coop. Vis. Cam. 6DOF pose; Non-Coop. Stereo Vis 6DOF Pose; Non-Coop. IR Cam. 6DOF pose; Non-Coop. LIDAR-based 6DOF pose; Non-Coop. RF-based 6DOF pose; Terrain-Relative Visible 6DOF pose; Terrain-Relative LIDAR 6DOF pose; Camera Automatic Gain Control (AGC); High performance space flight computing elements; Relative Navigation Sensor imbedded pose and terrain-relative navigation processing; LIDAR calibration; IR Camera calibration
TX17.2.6	Rendezvous, Proximity Operations, and Capture Trajectory Design and Orbit Determination	This area covers spacecraft trajectory design and orbit determination to support rendezvous and proximity operations in several specific orbital regimes. Trajectory design for missions performing rendezvous and proximity operations includes the inertial motion of a spacecraft starting and launching and continues to the design of relative motion to achieve rendezvous, proximity operations, capture, and departure from another space object (spacecraft or small body). Orbit determination is the inertial navigation function (ground or onboard) required to allow onboard systems to acquire the relative navigation estimate needed in order to complete the mission.	LEO Rendezvous and Proximity Operations (RPO) trajectory design and orbit determination; Geosynchronous Earth Orbit (GEO) RPO trajectory design and orbit determination; Sun-Earth Lagrange Point RPO trajectory design and orbit determination; Lunar Near Rectilinear Halo Orbit (NRHO) RPO trajectory design and orbit determination; Lunar Distant Retrograde Orbit (DRO) RPO trajectory design and orbit determination; Lunar Orbit RPO trajectory design and orbit determination; Highly Elliptical Orbit (HEO) (aka Phasing Orbit) RPO trajectory design and orbit determination
TX17.3	Control Technologies	Control technologies primarily constitute the development of robust, reliable, and computationally efficient mathematical algorithms and their associated software implementation for the functions of autonomous exo- and endoatmospheric flight path, orbit, and trajectory control and/or space system attitude and attitude rate control. This area also includes advanced technologies for modeling and simulation as well as technologies for developing a new generation of control force, moment, and torque actuators.	
TX17.3.1	Onboard Maneuvering, Pointing, Stabilization, and Flight Control Algorithms	This area covers algorithms and associated flight software for autonomously commanding actuators (e.g., spacecraft thrusters, reaction wheels, control surfaces and propulsors) to orient, slew, point, and stabilize a vehicle's attitude and attitude rate or to influence changes in a vehicle's flight path or orbit/trajectory.	Adaptive flight control for launch vehicles/spacecraft/landers/atmospheric exploration vehicles time optimal (or fuel optimal) spacecraft slew control, Orbital Rendezvous (Lambert Targeted Finite Burn, Clohessy-Wiltshire (CW) Targeted Finite Burn), Deep Space (DS) Rendezvous (DS Rendezvous Finite Burn), Prox Ops (vehicle and small body) (Closed-loop Relative Translation Control, Closed-loop Relative Translation Control (uncontrolled client), Closed-loop Relative Attitude Control, Vehicle 6DOF Path Planning, Payload Extraction from Launch vehicle), Formation Flying (Formation acquisition control, Precision formation flying control)
